,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,
ASV_11397,0.00024703,0,0.000205859,8.23E-05,8.23E-05,0,4.12E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus
ASV_18674,0.000185273,0.000102929,4.12E-05,2.06E-05,0.000144101,0,0.000144101,0.000123515,k__Bacteria;p__Verrucomicrobia;c__Subdivision3;g__Subdivision3_genera_incertae_sedis
ASV_18761,2.06E-05,2.06E-05,8.23E-05,0,4.12E-05,2.06E-05,0.000267616,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Methyloligella
ASV_19701,0.00024703,8.23E-05,2.06E-05,0,8.23E-05,0,4.12E-05,2.06E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_3986,2.06E-05,4.12E-05,0.000205859,4.12E-05,0.000185273,2.06E-05,0,0.000185273,k__Bacteria;p__Acidobacteria
ASV_4161,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
ASV_4214,0,0,0,0,0,0,0,0,k__Bacteria
ASV_4280,0,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Tissierellaceae;g__Tissierella
ASV_4343,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Albidiferax
ASV_4494,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_4497,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales;f__Parvularculaceae;g__Marinicaulis
ASV_4583,0,0,0,0,0,0,0,0,k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium
ASV_4721,0.000411717,0,0,0,0.000267616,0,0,4.12E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp2;g__Gp2
ASV_4740,0,0,0,0,0,2.06E-05,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter
ASV_4931,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfohalobium
ASV_4993,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella
ASV_5267,0,0,0,0,0,0,0,0,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter
ASV_5305,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia
ASV_5306,4.12E-05,2.06E-05,2.06E-05,2.06E-05,0,0,8.23E-05,4.12E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Filomicrobium
ASV_5320,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Pelagibius
ASV_5438,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales
ASV_5475,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp15;g__Gp15
ASV_5534,0,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
ASV_6035,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_6118,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella
ASV_6247,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Iodidimonadales;f__Iodidimonadaceae;g__Iodidimonas
ASV_6385,0,6.18E-05,6.18E-05,0.000185273,0,0.000102929,0.000658748,2.06E-05,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae
ASV_7063,2.06E-05,2.06E-05,0,0,0,0.000102929,0.000164687,0.000288202,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp7;g__Gp7
ASV_7592,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Granulosicoccaceae;g__Sulfuriflexus
ASV_8175,0.000226445,4.12E-05,4.12E-05,6.18E-05,0.000226445,0,2.06E-05,6.18E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Steroidobacteraceae;g__Povalibacter
ASV_9291,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassobaculaceae;g__Oceanibaculum
ASV_10094,8.23E-05,0.000123515,0.000102929,6.18E-05,4.12E-05,0.000102929,0,4.12E-05,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa
ASV_11207,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__Desulfobulbus
ASV_16988,4.12E-05,6.18E-05,0.000144101,0,6.18E-05,0.000370546,0.00024703,0.000844021,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp7;g__Gp7
ASV_18480,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas
ASV_19579,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Marivirgaceae;g__Marivirga
ASV_3619,0,0,0,0,0,2.06E-05,0.001955658,0,k__Bacteria;p__Parcubacteria;g__Parcubacteria_genera_incertae_sedis
ASV_4044,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioprofundaceae;g__Thioprofundum
ASV_4401,0,0,0,2.06E-05,0,0,0,0,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
ASV_4505,0,4.12E-05,8.23E-05,0,8.23E-05,6.18E-05,0.000185273,2.06E-05,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae
ASV_4508,0,0,0,0,8.23E-05,0,0,0,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae
ASV_4526,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__Magnetovibrio
ASV_4529,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Chelativorans
ASV_4625,0,0,2.06E-05,0,0,0,0,0,k__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium
ASV_4637,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer
ASV_4727,0,0,0,0,0,0,8.23E-05,0,k__Bacteria
ASV_4789,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira
ASV_4948,0,0,0,0,0,0,0,4.12E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Skermanella
ASV_4982,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria
ASV_5031,0,0,0.000123515,0,6.18E-05,8.23E-05,0.000123515,0.000102929,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae
ASV_5259,0,0,4.12E-05,0,0,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae
ASV_5265,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae
ASV_5266,0,0,0,0,0,0,0,0,k__Bacteria
ASV_5423,0,4.12E-05,4.12E-05,0,0,2.06E-05,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile
ASV_5500,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio
ASV_5516,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromusa
ASV_5672,0.000102929,0,2.06E-05,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_6117,0,2.06E-05,6.18E-05,0,2.06E-05,2.06E-05,0,6.18E-05,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans
ASV_6155,4.12E-05,2.06E-05,2.06E-05,4.12E-05,6.18E-05,8.23E-05,0.000102929,0.000102929,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia
ASV_7024,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioprofundaceae;g__Thioprofundum
ASV_7270,0,0,0,0,0,0,0,0,k__Bacteria
ASV_7876,0.000329374,0,2.06E-05,0,8.23E-05,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
ASV_8944,0.000185273,0,2.06E-05,6.18E-05,0,6.18E-05,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_incertae_sedis;g__Acidibacter
ASV_9392,0.000102929,0,2.06E-05,2.06E-05,0.000123515,2.06E-05,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter
ASV_9470,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
ASV_10290,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Granulosicoccaceae
ASV_12318,2.06E-05,4.12E-05,2.06E-05,0,6.18E-05,0,4.12E-05,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia
ASV_13778,0.000535233,0.000102929,0.000802849,8.23E-05,0.000720506,0.000144101,0.000102929,0.000164687,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter
ASV_14121,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_16055,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria
ASV_4424,0,0,0,6.18E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Roseibium
ASV_4513,0,0,0.000123515,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae
ASV_4550,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Fulvivirga
ASV_4552,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae;g__Kordiimonas
ASV_4589,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Actinomarinicola
ASV_4644,0,0,4.12E-05,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limimonas
ASV_4692,0,2.06E-05,0,2.06E-05,2.06E-05,2.06E-05,0.000226445,6.18E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Geminicoccaceae;g__Arboricoccus
ASV_4724,0.000102929,0.000205859,0.000494061,0.001091051,0.000329374,4.12E-05,0,4.12E-05,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae
ASV_4752,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;g__Gp10
ASV_4833,0.001317496,6.18E-05,0.000288202,0.000535233,0.000514647,0,0,0,k__Bacteria
ASV_4884,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria
ASV_4904,0,6.18E-05,0.000144101,8.23E-05,2.06E-05,0.000226445,0.000494061,0.000205859,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas
ASV_4932,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
ASV_5089,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria
ASV_5147,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Limibaculum
ASV_5268,0.003170225,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas
ASV_5291,0,0,0,0,0,0,0,0,k__Bacteria;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium
ASV_5308,0,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Metabacillus
ASV_5322,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae
ASV_5328,2.06E-05,0.000185273,4.12E-05,0,0,0.000308788,0.000370546,0.000638162,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Deltaproteobacteria_incertae_sedis
ASV_5351,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Aromatoleum
ASV_5366,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae
ASV_5385,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Afifellaceae;g__Afifella
ASV_5392,0,0,0,0.000102929,0,4.12E-05,0,0,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella
ASV_5432,0,0,0,0,0,2.06E-05,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillales_incertae_sedis;g__Pseudohongiella
ASV_5604,0,0,6.18E-05,0,0,0,0.000288202,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_incertae_sedis;g__Acidibacter
ASV_5669,2.06E-05,0,2.06E-05,0,0,0,0,4.12E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp7;g__Gp7
ASV_6110,0,0,0,0,0,0,0,0,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_1;g__Mesobacillus
ASV_6152,0.000267616,0,0,0,8.23E-05,0,4.12E-05,6.18E-05,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parasegetibacter
ASV_6600,0.000576404,0,0,4.12E-05,0.000555819,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Vogesella
ASV_7201,0,0,2.06E-05,0,0,0,2.06E-05,0,k__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Phaeodactylibacter
ASV_7928,0,0,0,0,0,0,0,0,k__Bacteria
ASV_8658,4.12E-05,2.06E-05,6.18E-05,0,8.23E-05,6.18E-05,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_incertae_sedis;g__Acidibacter
ASV_17798,0.000226445,0.000102929,0,0,4.12E-05,0,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylotuvimicrobium
ASV_18180,0.000267616,0,2.06E-05,2.06E-05,0.000144101,0,4.12E-05,0,k__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Phaeodactylibacter
ASV_3821,0,0,0,0,0,8.23E-05,2.06E-05,0,k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Thermodesulfovibrio
ASV_4180,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
ASV_4229,8.23E-05,0,4.12E-05,0.000164687,0,2.06E-05,0,8.23E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;g__Gp1
ASV_4425,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae;g__Kordiimonas
ASV_4427,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_4501,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Marinilabilia
ASV_4532,0,2.06E-05,0,0,0,0,0,0,k__Bacteria;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium
ASV_4542,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_4557,0,2.06E-05,2.06E-05,0,2.06E-05,0,4.12E-05,0,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Flavitalea
ASV_4606,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae
ASV_4691,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Azoarcus
ASV_4701,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_4798,0,0,0,0,0,0,0,0,k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas
ASV_4812,4.12E-05,0.000102929,0.000164687,8.23E-05,0.000102929,0.000205859,0.00024703,6.18E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
ASV_4869,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria
ASV_4942,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas
ASV_5051,0,0,0,0,0,0,2.06E-05,0.000185273,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;g__Micromonospora
ASV_5056,0,2.06E-05,4.12E-05,0,0,0,4.12E-05,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_5062,0.000329374,0.000205859,0.00069992,0.000452889,0.000370546,0.000185273,0.000494061,0.000164687,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Ancalomicrobiaceae;g__Prosthecomicrobium
ASV_5102,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae
ASV_5312,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales
ASV_5326,0,4.12E-05,4.12E-05,0,0,2.06E-05,4.12E-05,0,k__Bacteria
ASV_5501,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanicella
ASV_5726,0,0,0,0,0,0,0,0,k__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas
ASV_5760,0,0,0,0,2.06E-05,4.12E-05,8.23E-05,4.12E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp5;g__Gp5
ASV_5928,8.23E-05,2.06E-05,0.000123515,0.000123515,4.12E-05,0.000102929,6.18E-05,6.18E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium
ASV_5951,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp26;g__Gp26
ASV_6064,8.23E-05,0.000308788,0.000164687,0.000102929,0.00024703,0.000205859,0.000288202,0.000679334,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae
ASV_6158,0,4.12E-05,6.18E-05,0,6.18E-05,4.12E-05,0.000102929,4.12E-05,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__Haliangium
ASV_7058,0,8.23E-05,0.000185273,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;g__Gp10
ASV_7324,4.12E-05,0.000102929,2.06E-05,0,0,0,6.18E-05,0.000123515,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp10;g__Gp10
ASV_7852,0,2.06E-05,0,0,0,4.12E-05,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfonatronaceae;g__Desulfonatronum
ASV_7999,2.06E-05,0.00059699,0.000123515,0.000741091,0.000370546,4.12E-05,2.06E-05,0.000185273,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Chryseolinea
ASV_8442,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp23;g__Gp23
ASV_8537,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Motiliproteus
ASV_9314,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
ASV_11128,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Baekduiaceae;g__Baekduia
ASV_11910,0.00034996,2.06E-05,0.000144101,2.06E-05,4.12E-05,0,6.18E-05,6.18E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium
ASV_17349,6.18E-05,0,0,6.18E-05,0,2.06E-05,4.12E-05,2.06E-05,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium
ASV_4351,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp17;g__Gp17
ASV_4453,0,0,0,2.06E-05,0,0,4.12E-05,0,k__Bacteria;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium
ASV_4462,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_4554,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiales_incertae_sedis;g__Aciditerrimonas
ASV_4558,0.000823435,6.18E-05,6.18E-05,0.000185273,0.000205859,0,0,0,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella
ASV_4636,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp5;g__Gp5
ASV_4785,4.12E-05,0,0,0,6.18E-05,0.000267616,0.000144101,0.000535233,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Kofleriaceae;g__Kofleria
ASV_4800,0,0,0,0,0,0,0,0,k__Bacteria;p__Acidobacteria
ASV_4857,0,0,0,0,0,2.06E-05,0,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp5;g__Gp5
ASV_4893,6.18E-05,0,0,0,2.06E-05,0,0,2.06E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_4907,0.002552648,2.06E-05,0.000102929,6.18E-05,0.000391132,0,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter
ASV_4956,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Rhizorhabdus
ASV_5006,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Fulvivirga
ASV_5019,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria
ASV_5098,0,0,0,0,0,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae
ASV_5383,0,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Rurimicrobium
ASV_5408,4.12E-05,0.000535233,4.12E-05,6.18E-05,2.06E-05,0.000370546,0.00024703,2.06E-05,k__Bacteria;p__Gemmatimonadetes;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobium
ASV_5462,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfobacca
ASV_5465,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosalsimonas
