	S5_1	S5_2	S5_3	S5_4	S5_5	S5_6	S5_7	S5_8
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Actinomarinicola	0.00094695	0.001729213	0.000967536	0.000967536	0.000761677	0.001729213	0.002079173	0.001461597
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.00059699	0.005928732	0.001091051	0.002923194	0.00329374	0.001441011	0.004817095	0.002429133
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0.001029294	0.003808387	0.001749799	0.001626284	0.001132223	0.005990489	0.00529057	0.003808387
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Litoribrevibacter	0	0	0	0	0	4.12E-05	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia	0.00059699	0.000576404	0.000782263	0.000144101	0.000473475	0.002923194	0.00788439	0.000823435
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia	0	2.06E-05	0	0	0	0	0	2.06E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Elstera	0.00234679	0.007822632	0.002367376	0.001667456	0.002387961	0.010087078	0.009634189	0.004281862
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinospirillum	0	8.23E-05	0	0	2.06E-05	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa	0	2.06E-05	8.23E-05	0.000164687	6.18E-05	0.001832143	0	0.00034996
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae;g__Thiobacillus	0	2.06E-05	0.000288202	0	0	0.000658748	0.000844021	0.001338082
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae	2.06E-05	0.00104988	0.000452889	0.00024703	0	0.000452889	0.001276324	2.06E-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0	0	0	0	0	0	2.06E-05	2.06E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia	2.06E-05	0	0	0	0	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter	0.001070465	0.005414085	0.004878852	0.003808387	0.00329374	0.013627849	0.009963563	0.006999197
k__Bacteria	6.18E-05	6.18E-05	0.000288202	2.06E-05	4.12E-05	0.002038002	0.00069992	0.004920024
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	2.06E-05	0	0	0	2.06E-05	0	0	0.000102929
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	0	0	0	0	0	0	0	2.06E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.000144101	0.001255738	0.001955658	0.002161517	0.000411717	4.12E-05	0.006093419	0.000144101
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas	8.23E-05	0.000617576	0.000988122	0.000452889	0.000102929	0.003067295	0.003767215	0.00164687
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae;g__Kordiimonas	0	0	0	0	0	0	2.06E-05	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatiglans	0.000370546	0.001235152	0.002285032	0.00024703	0.000185273	0.004611236	0.004755337	0.005496428
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Skermanella	0.000905778	0.003211396	0.000823435	0.00129691	0.001770385	0.006546308	0.009654775	0.006505136
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia	0	0	0	0	0	0	2.06E-05	0
k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parasegetibacter	0.000205859	0	0	0	4.12E-05	0.000164687	0	0.000144101
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Pelagibius	0	0	2.06E-05	4.12E-05	0	2.06E-05	4.12E-05	2.06E-05
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae;g__Euzebya	0	0	4.12E-05	0	0	0	2.06E-05	4.12E-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	0	2.06E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Iodidimonadales;f__Iodidimonadaceae;g__Iodidimonas	0	2.06E-05	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Basilea	0	0	0	4.12E-05	0	2.06E-05	0	0
